DATA;ORA;OPEN;HIGH;LOW;CLOSE;N
16/02/2004;00:00;1.2726;1.279;1.272;1.277;0
17/02/2004;00:00;1.2769;1.2877;1.2758;1.2843;0
18/02/2004;00:00;1.2836;1.2928;1.2662;1.269;0
19/02/2004;00:00;1.2687;1.2736;1.2649;1.2709;0
20/02/2004;00:00;1.2714;1.2767;1.2495;1.2529;0
23/02/2004;00:00;1.2535;1.2595;1.2451;1.2554;0
24/02/2004;00:00;1.255;1.2713;1.2525;1.2682;0
25/02/2004;00:00;1.2684;1.2707;1.2477;1.2497;0
26/02/2004;00:00;1.2499;1.2515;1.2383;1.2437;0
27/02/2004;00:00;1.2439;1.2508;1.2373;1.2484;0
01/03/2004;00:00;1.2487;1.2541;1.2427;1.2464;0
02/03/2004;00:00;1.2454;1.2469;1.2197;1.2218;0
03/03/2004;00:00;1.2212;1.2223;1.2058;1.2203;0
04/03/2004;00:00;1.2203;1.2241;1.2135;1.2199;0
05/03/2004;00:00;1.2203;1.2432;1.2176;1.2374;0
08/03/2004;00:00;1.2364;1.2417;1.2339;1.2404;0
09/03/2004;00:00;1.2404;1.2459;1.2275;1.2317;0
10/03/2004;00:00;1.2319;1.2341;1.2198;1.2237;0
11/03/2004;00:00;1.222;1.2387;1.2164;1.2351;0
12/03/2004;00:00;1.2348;1.2374;1.2175;1.2216;0
15/03/2004;00:00;1.2207;1.2317;1.2184;1.2265;0
16/03/2004;00:00;1.2259;1.2372;1.2232;1.2268;0
17/03/2004;00:00;1.2271;1.2288;1.2177;1.2234;0
18/03/2004;00:00;1.2233;1.2436;1.2223;1.2387;0
19/03/2004;00:00;1.2389;1.2408;1.2256;1.2282;0
22/03/2004;00:00;1.2282;1.2401;1.2224;1.2334;0
23/03/2004;00:00;1.2325;1.237;1.2266;1.2332;0
24/03/2004;00:00;1.2335;1.2367;1.2119;1.2127;0
25/03/2004;00:00;1.2135;1.22;1.2098;1.213;0
26/03/2004;00:00;1.2131;1.2213;1.2072;1.2132;0
29/03/2004;00:00;1.2126;1.2169;1.2048;1.2155;0
30/03/2004;00:00;1.2155;1.2228;1.2152;1.216;0
31/03/2004;00:00;1.2171;1.2323;1.217;1.2316;0
01/04/2004;00:00;1.2309;1.2389;1.2255;1.2361;0
02/04/2004;00:00;1.2359;1.2373;1.2103;1.213;0
05/04/2004;00:00;1.2134;1.2138;1.1986;1.2001;0
06/04/2004;00:00;1.2;1.2136;1.1981;1.2114;0
07/04/2004;00:00;1.2141;1.2197;1.2051;1.2169;0
08/04/2004;00:00;1.2171;1.2219;1.2062;1.2083;0
09/04/2004;00:00;1.2082;1.2112;1.2066;1.2088;0
12/04/2004;00:00;1.2073;1.2098;1.2054;1.2077;0
13/04/2004;00:00;1.2078;1.2082;1.1905;1.1943;0
14/04/2004;00:00;1.1935;1.1975;1.1868;1.1955;0
15/04/2004;00:00;1.1952;1.1994;1.1893;1.1971;0
16/04/2004;00:00;1.1976;1.2047;1.1924;1.1997;0
19/04/2004;00:00;1.1997;1.2079;1.1997;1.2001;0
20/04/2004;00:00;1.2004;1.2011;1.1843;1.1849;0
21/04/2004;00:00;1.1848;1.1915;1.1816;1.1835;0
22/04/2004;00:00;1.1834;1.1915;1.178;1.1901;0
23/04/2004;00:00;1.1906;1.1943;1.1798;1.1839;0
26/04/2004;00:00;1.1839;1.1884;1.176;1.1854;0
27/04/2004;00:00;1.1857;1.1947;1.1834;1.1927;0
28/04/2004;00:00;1.1925;1.1954;1.1822;1.1846;0
29/04/2004;00:00;1.1845;1.1985;1.1805;1.1966;0
30/04/2004;00:00;1.196;1.2014;1.192;1.1983;0
03/05/2004;00:00;1.1984;1.2003;1.1921;1.1935;0
